"journal_id","Account_Code","Account_Name","Date","Entity_ID","Entity_Name","Region","Country","Currency","FS_Subclass","Category","Normal_Balance","Financial_Statement","Debit","Credit","Amount","display_amount","Description","entry_type"
,1000,Cash and Bank,"2025-01-01 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1500000.0,0.0,1500000.0,1500000.0,Seed Funding,Regular
,3000,Common Stock,"2025-01-01 0:00",E101,Global Tech - HQ,North America,United States,USD,Equity,Equity,Credit,Balance Sheet,0.0,1500000.0,-1500000.0,1500000.0,Equity Issuance,Regular
,1800,"Property, Plant & Equipment","2025-01-06 0:00",E101,Global Tech - HQ,North America,United States,USD,Non-Current Assets,Asset,Debit,Balance Sheet,500000.0,0.0,500000.0,500000.0,Hardware Purchase,Regular
,1000,Cash and Bank,"2025-01-06 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,0.0,500000.0,-500000.0,-500000.0,PPE Payment,Regular
,1000,Cash and Bank,"2025-01-01 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Current Assets,Asset,Debit,Balance Sheet,1500000.0,0.0,1500000.0,1500000.0,Seed Funding,Regular
,3000,Common Stock,"2025-01-01 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Equity,Equity,Credit,Balance Sheet,0.0,1500000.0,-1500000.0,1500000.0,Equity Issuance,Regular
,1800,"Property, Plant & Equipment","2025-01-06 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Non-Current Assets,Asset,Debit,Balance Sheet,500000.0,0.0,500000.0,500000.0,Hardware Purchase,Regular
,1000,Cash and Bank,"2025-01-06 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Current Assets,Asset,Debit,Balance Sheet,0.0,500000.0,-500000.0,-500000.0,PPE Payment,Regular
,1000,Cash and Bank,"2025-01-01 0:00",E303,Global Tech - Germany,Europe,Germany,EUR,Current Assets,Asset,Debit,Balance Sheet,1500000.0,0.0,1500000.0,1500000.0,Seed Funding,Regular
,3000,Common Stock,"2025-01-01 0:00",E303,Global Tech - Germany,Europe,Germany,EUR,Equity,Equity,Credit,Balance Sheet,0.0,1500000.0,-1500000.0,1500000.0,Equity Issuance,Regular
,1800,"Property, Plant & Equipment","2025-01-06 0:00",E303,Global Tech - Germany,Europe,Germany,EUR,Non-Current Assets,Asset,Debit,Balance Sheet,500000.0,0.0,500000.0,500000.0,Hardware Purchase,Regular
,1000,Cash and Bank,"2025-01-06 0:00",E303,Global Tech - Germany,Europe,Germany,EUR,Current Assets,Asset,Debit,Balance Sheet,0.0,500000.0,-500000.0,-500000.0,PPE Payment,Regular
,1000,Cash and Bank,"2025-01-01 0:00",E404,Global Tech - UK,Europe,UK,GBP,Current Assets,Asset,Debit,Balance Sheet,1500000.0,0.0,1500000.0,1500000.0,Seed Funding,Regular
,3000,Common Stock,"2025-01-01 0:00",E404,Global Tech - UK,Europe,UK,GBP,Equity,Equity,Credit,Balance Sheet,0.0,1500000.0,-1500000.0,1500000.0,Equity Issuance,Regular
,1800,"Property, Plant & Equipment","2025-01-06 0:00",E404,Global Tech - UK,Europe,UK,GBP,Non-Current Assets,Asset,Debit,Balance Sheet,500000.0,0.0,500000.0,500000.0,Hardware Purchase,Regular
,1000,Cash and Bank,"2025-01-06 0:00",E404,Global Tech - UK,Europe,UK,GBP,Current Assets,Asset,Debit,Balance Sheet,0.0,500000.0,-500000.0,-500000.0,PPE Payment,Regular
,6600,Depreciation Expense,"2025-01-28 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Expenses,Expense,Debit,Income Statement,8333.33,0.0,8333.33,8333.33,Depreciation Expense,Regular
,1850,Accumulated Depreciation,"2025-01-28 0:00",E101,Global Tech - HQ,North America,United States,USD,Non-Current Assets,Asset,Credit,Balance Sheet,0.0,8333.33,-8333.33,-8333.33,Accrue Depreciation,Regular
,1000,Cash and Bank,"2025-01-21 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1511.61,0.0,1511.61,1511.61,Sale,Regular
,4000,Product Sales Revenue,"2025-01-17 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1511.61,-1511.61,1511.61,Revenue,Regular
,1000,Cash and Bank,"2025-01-01 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3967.1,0.0,3967.1,3967.1,Sale,Regular
,4000,Product Sales Revenue,"2025-01-19 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3967.1,-3967.1,3967.1,Revenue,Regular
,1000,Cash and Bank,"2025-01-05 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3796.88,0.0,3796.88,3796.88,Sale,Regular
,4000,Product Sales Revenue,"2025-01-02 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3796.88,-3796.88,3796.88,Revenue,Regular
,1000,Cash and Bank,"2025-01-05 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3448.02,0.0,3448.02,3448.02,Sale,Regular
,4000,Product Sales Revenue,"2025-01-24 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3448.02,-3448.02,3448.02,Revenue,Regular
,1000,Cash and Bank,"2025-01-27 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3410.43,0.0,3410.43,3410.43,Sale,Regular
,4000,Product Sales Revenue,"2025-01-01 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3410.43,-3410.43,3410.43,Revenue,Regular
,1000,Cash and Bank,"2025-01-04 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1123.9,0.0,1123.9,1123.9,Sale,Regular
,4000,Product Sales Revenue,"2025-01-08 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1123.9,-1123.9,1123.9,Revenue,Regular
,1000,Cash and Bank,"2025-01-22 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4623.52,0.0,4623.52,4623.52,Sale,Regular
,4000,Product Sales Revenue,"2025-01-12 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4623.52,-4623.52,4623.52,Revenue,Regular
,1000,Cash and Bank,"2025-01-07 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1511.76,0.0,1511.76,1511.76,Sale,Regular
,4000,Product Sales Revenue,"2025-01-20 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1511.76,-1511.76,1511.76,Revenue,Regular
,1000,Cash and Bank,"2025-01-27 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1212.86,0.0,1212.86,1212.86,Sale,Regular
,4000,Product Sales Revenue,"2025-01-17 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1212.86,-1212.86,1212.86,Revenue,Regular
,1000,Cash and Bank,"2025-01-17 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4488.7,0.0,4488.7,4488.7,Sale,Regular
,4000,Product Sales Revenue,"2025-01-27 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4488.7,-4488.7,4488.7,Revenue,Regular
,1000,Cash and Bank,"2025-01-01 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3644.03,0.0,3644.03,3644.03,Sale,Regular
,4000,Product Sales Revenue,"2025-01-01 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3644.03,-3644.03,3644.03,Revenue,Regular
,1000,Cash and Bank,"2025-01-27 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1350.8,0.0,1350.8,1350.8,Sale,Regular
,4000,Product Sales Revenue,"2025-01-17 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1350.8,-1350.8,1350.8,Revenue,Regular
,1000,Cash and Bank,"2025-01-04 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4831.32,0.0,4831.32,4831.32,Sale,Regular
,4000,Product Sales Revenue,"2025-01-03 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4831.32,-4831.32,4831.32,Revenue,Regular
,1000,Cash and Bank,"2025-01-09 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4674.5,0.0,4674.5,4674.5,Sale,Regular
,4000,Product Sales Revenue,"2025-01-08 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4674.5,-4674.5,4674.5,Revenue,Regular
,1000,Cash and Bank,"2025-01-08 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3269.88,0.0,3269.88,3269.88,Sale,Regular
,4000,Product Sales Revenue,"2025-01-10 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3269.88,-3269.88,3269.88,Revenue,Regular
,1000,Cash and Bank,"2025-01-22 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1506.55,0.0,1506.55,1506.55,Sale,Regular
,4000,Product Sales Revenue,"2025-01-07 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1506.55,-1506.55,1506.55,Revenue,Regular
,1000,Cash and Bank,"2025-01-18 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3532.46,0.0,3532.46,3532.46,Sale,Regular
,4000,Product Sales Revenue,"2025-01-13 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3532.46,-3532.46,3532.46,Revenue,Regular
,1000,Cash and Bank,"2025-01-24 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1217.21,0.0,1217.21,1217.21,Sale,Regular
,4000,Product Sales Revenue,"2025-01-27 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1217.21,-1217.21,1217.21,Revenue,Regular
,1000,Cash and Bank,"2025-01-16 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3521.72,0.0,3521.72,3521.72,Sale,Regular
,4000,Product Sales Revenue,"2025-01-24 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3521.72,-3521.72,3521.72,Revenue,Regular
,1000,Cash and Bank,"2025-01-13 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1939.99,0.0,1939.99,1939.99,Sale,Regular
,4000,Product Sales Revenue,"2025-01-05 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1939.99,-1939.99,1939.99,Revenue,Regular
,1000,Cash and Bank,"2025-01-04 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3633.09,0.0,3633.09,3633.09,Sale,Regular
,4000,Product Sales Revenue,"2025-01-18 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3633.09,-3633.09,3633.09,Revenue,Regular
,1000,Cash and Bank,"2025-01-20 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4384.87,0.0,4384.87,4384.87,Sale,Regular
,4000,Product Sales Revenue,"2025-01-10 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4384.87,-4384.87,4384.87,Revenue,Regular
,1000,Cash and Bank,"2025-01-13 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1828.86,0.0,1828.86,1828.86,Sale,Regular
,4000,Product Sales Revenue,"2025-01-21 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1828.86,-1828.86,1828.86,Revenue,Regular
,1000,Cash and Bank,"2025-01-14 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4133.43,0.0,4133.43,4133.43,Sale,Regular
,4000,Product Sales Revenue,"2025-01-05 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4133.43,-4133.43,4133.43,Revenue,Regular
,1000,Cash and Bank,"2025-01-11 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4102.41,0.0,4102.41,4102.41,Sale,Regular
,4000,Product Sales Revenue,"2025-01-17 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4102.41,-4102.41,4102.41,Revenue,Regular
,1000,Cash and Bank,"2025-01-21 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,2262.26,0.0,2262.26,2262.26,Sale,Regular
,4000,Product Sales Revenue,"2025-01-04 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2262.26,-2262.26,2262.26,Revenue,Regular
