"date","entity_id","account_code","debit","credit","description","journal_id","entry_type"
2025-01-01,E101,1000,1500000.0,0.0,Seed Funding,"",Regular
2025-01-01,E101,3000,0.0,1500000.0,Equity Issuance,"",Regular
2025-01-06,E101,1800,500000.0,0.0,Hardware Purchase,"",Regular
2025-01-06,E101,1000,0.0,500000.0,PPE Payment,"",Regular
2025-01-01,E202,1000,1500000.0,0.0,Seed Funding,"",Regular
2025-01-01,E202,3000,0.0,1500000.0,Equity Issuance,"",Regular
2025-01-06,E202,1800,500000.0,0.0,Hardware Purchase,"",Regular
2025-01-06,E202,1000,0.0,500000.0,PPE Payment,"",Regular
2025-01-01,E303,1000,1500000.0,0.0,Seed Funding,"",Regular
2025-01-01,E303,3000,0.0,1500000.0,Equity Issuance,"",Regular
2025-01-06,E303,1800,500000.0,0.0,Hardware Purchase,"",Regular
2025-01-06,E303,1000,0.0,500000.0,PPE Payment,"",Regular
2025-01-01,E404,1000,1500000.0,0.0,Seed Funding,"",Regular
2025-01-01,E404,3000,0.0,1500000.0,Equity Issuance,"",Regular
2025-01-06,E404,1800,500000.0,0.0,Hardware Purchase,"",Regular
2025-01-06,E404,1000,0.0,500000.0,PPE Payment,"",Regular
2025-01-28,E101,6600,8333.33,0.0,Depreciation Expense,"",Regular
2025-01-28,E101,1850,0.0,8333.33,Accrue Depreciation,"",Regular
2025-01-21,E101,1000,1511.61,0.0,Sale,"",Regular
2025-01-17,E101,4000,0.0,1511.61,Revenue,"",Regular
2025-01-01,E101,1000,3967.1,0.0,Sale,"",Regular
2025-01-19,E101,4000,0.0,3967.1,Revenue,"",Regular
2025-01-05,E101,1000,3796.88,0.0,Sale,"",Regular
2025-01-02,E101,4000,0.0,3796.88,Revenue,"",Regular
2025-01-05,E101,1000,3448.02,0.0,Sale,"",Regular
2025-01-24,E101,4000,0.0,3448.02,Revenue,"",Regular
2025-01-27,E101,1000,3410.43,0.0,Sale,"",Regular
2025-01-01,E101,4000,0.0,3410.43,Revenue,"",Regular
2025-01-04,E101,1000,1123.9,0.0,Sale,"",Regular
2025-01-08,E101,4000,0.0,1123.9,Revenue,"",Regular
2025-01-22,E101,1000,4623.52,0.0,Sale,"",Regular
2025-01-12,E101,4000,0.0,4623.52,Revenue,"",Regular
2025-01-07,E101,1000,1511.76,0.0,Sale,"",Regular
2025-01-20,E101,4000,0.0,1511.76,Revenue,"",Regular
2025-01-27,E101,1000,1212.86,0.0,Sale,"",Regular
2025-01-17,E101,4000,0.0,1212.86,Revenue,"",Regular
2025-01-17,E101,1000,4488.7,0.0,Sale,"",Regular
2025-01-27,E101,4000,0.0,4488.7,Revenue,"",Regular
2025-01-01,E101,1000,3644.03,0.0,Sale,"",Regular
2025-01-01,E101,4000,0.0,3644.03,Revenue,"",Regular
2025-01-27,E101,1000,1350.8,0.0,Sale,"",Regular
2025-01-17,E101,4000,0.0,1350.8,Revenue,"",Regular
2025-01-04,E101,1000,4831.32,0.0,Sale,"",Regular
2025-01-03,E101,4000,0.0,4831.32,Revenue,"",Regular
2025-01-09,E101,1000,4674.5,0.0,Sale,"",Regular
2025-01-08,E101,4000,0.0,4674.5,Revenue,"",Regular
2025-01-08,E101,1000,3269.88,0.0,Sale,"",Regular
2025-01-10,E101,4000,0.0,3269.88,Revenue,"",Regular
2025-01-22,E101,1000,1506.55,0.0,Sale,"",Regular
2025-01-07,E101,4000,0.0,1506.55,Revenue,"",Regular
2025-01-18,E101,1000,3532.46,0.0,Sale,"",Regular
2025-01-13,E101,4000,0.0,3532.46,Revenue,"",Regular
2025-01-24,E101,1000,1217.21,0.0,Sale,"",Regular
2025-01-27,E101,4000,0.0,1217.21,Revenue,"",Regular
2025-01-16,E101,1000,3521.72,0.0,Sale,"",Regular
2025-01-24,E101,4000,0.0,3521.72,Revenue,"",Regular
2025-01-13,E101,1000,1939.99,0.0,Sale,"",Regular
2025-01-05,E101,4000,0.0,1939.99,Revenue,"",Regular
2025-01-04,E101,1000,3633.09,0.0,Sale,"",Regular
2025-01-18,E101,4000,0.0,3633.09,Revenue,"",Regular
2025-01-20,E101,1000,4384.87,0.0,Sale,"",Regular
2025-01-10,E101,4000,0.0,4384.87,Revenue,"",Regular
2025-01-13,E101,1000,1828.86,0.0,Sale,"",Regular
2025-01-21,E101,4000,0.0,1828.86,Revenue,"",Regular
2025-01-14,E101,1000,4133.43,0.0,Sale,"",Regular
2025-01-05,E101,4000,0.0,4133.43,Revenue,"",Regular
2025-01-11,E101,1000,4102.41,0.0,Sale,"",Regular
2025-01-17,E101,4000,0.0,4102.41,Revenue,"",Regular
2025-01-21,E101,1000,2262.26,0.0,Sale,"",Regular
2025-01-04,E101,4000,0.0,2262.26,Revenue,"",Regular
2025-01-18,E101,1000,2542.13,0.0,Sale,"",Regular
2025-01-15,E101,4000,0.0,2542.13,Revenue,"",Regular
2025-01-06,E101,1000,3003.76,0.0,Sale,"",Regular
2025-01-27,E101,4000,0.0,3003.76,Revenue,"",Regular
2025-01-27,E101,1000,4504.76,0.0,Sale,"",Regular
2025-01-02,E101,4000,0.0,4504.76,Revenue,"",Regular
2025-01-17,E101,1000,1572.1,0.0,Sale,"",Regular
2025-01-13,E101,4000,0.0,1572.1,Revenue,"",Regular
2025-01-22,E101,1000,3660.11,0.0,Sale,"",Regular
2025-01-01,E101,4000,0.0,3660.11,Revenue,"",Regular
2025-01-22,E101,1000,3470.96,0.0,Sale,"",Regular
2025-01-05,E101,4000,0.0,3470.96,Revenue,"",Regular
2025-01-14,E101,1000,2747.32,0.0,Sale,"",Regular
2025-01-10,E101,4000,0.0,2747.32,Revenue,"",Regular
2025-01-07,E101,1000,2493.36,0.0,Sale,"",Regular
2025-01-17,E101,4000,0.0,2493.36,Revenue,"",Regular
2025-01-15,E101,1000,2883.68,0.0,Sale,"",Regular
2025-01-03,E101,4000,0.0,2883.68,Revenue,"",Regular
2025-01-18,E101,1000,4186.51,0.0,Sale,"",Regular
2025-01-02,E101,4000,0.0,4186.51,Revenue,"",Regular
2025-01-15,E101,1000,4141.0,0.0,Sale,"",Regular
2025-01-27,E101,4000,0.0,4141.0,Revenue,"",Regular
2025-01-05,E101,1000,3208.75,0.0,Sale,"",Regular
2025-01-25,E101,4000,0.0,3208.75,Revenue,"",Regular
2025-01-26,E101,1000,3801.14,0.0,Sale,"",Regular
2025-01-25,E101,4000,0.0,3801.14,Revenue,"",Regular
2025-01-02,E101,1000,1929.08,0.0,Sale,"",Regular
2025-01-17,E101,4000,0.0,1929.08,Revenue,"",Regular
2025-01-19,E101,1000,2150.05,0.0,Sale,"",Regular
2025-01-17,E101,4000,0.0,2150.05,Revenue,"",Regular
2025-01-15,E101,1000,4991.76,0.0,Sale,"",Regular
2025-01-08,E101,4000,0.0,4991.76,Revenue,"",Regular
2025-01-04,E101,1000,3836.24,0.0,Sale,"",Regular
2025-01-25,E101,4000,0.0,3836.24,Revenue,"",Regular
2025-01-18,E101,1000,4470.14,0.0,Sale,"",Regular
2025-01-01,E101,4000,0.0,4470.14,Revenue,"",Regular
2025-01-12,E101,1000,1710.79,0.0,Sale,"",Regular
2025-01-11,E101,4000,0.0,1710.79,Revenue,"",Regular
2025-01-26,E101,1000,1694.56,0.0,Sale,"",Regular
2025-01-22,E101,4000,0.0,1694.56,Revenue,"",Regular
2025-01-18,E101,1000,1894.7,0.0,Sale,"",Regular
2025-01-27,E101,4000,0.0,1894.7,Revenue,"",Regular
2025-01-07,E101,1000,1584.26,0.0,Sale,"",Regular
2025-01-03,E101,4000,0.0,1584.26,Revenue,"",Regular
2025-01-26,E101,1000,2382.51,0.0,Sale,"",Regular
2025-01-27,E101,4000,0.0,2382.51,Revenue,"",Regular
2025-01-24,E101,1000,2491.88,0.0,Sale,"",Regular
2025-01-23,E101,4000,0.0,2491.88,Revenue,"",Regular
2025-01-28,E202,6600,8333.33,0.0,Depreciation Expense,"",Regular
2025-01-28,E202,1850,0.0,8333.33,Accrue Depreciation,"",Regular
2025-01-15,E202,1000,2768.06,0.0,Sale,"",Regular
2025-01-21,E202,4000,0.0,2768.06,Revenue,"",Regular
2025-01-02,E202,1000,4662.86,0.0,Sale,"",Regular
2025-01-10,E202,4000,0.0,4662.86,Revenue,"",Regular
2025-01-07,E202,1000,3936.64,0.0,Sale,"",Regular
2025-01-25,E202,4000,0.0,3936.64,Revenue,"",Regular
2025-01-01,E202,1000,4380.85,0.0,Sale,"",Regular
2025-01-26,E202,4000,0.0,4380.85,Revenue,"",Regular
2025-01-09,E202,1000,2798.64,0.0,Sale,"",Regular
2025-01-05,E202,4000,0.0,2798.64,Revenue,"",Regular
2025-01-14,E202,1000,3173.5,0.0,Sale,"",Regular
2025-01-26,E202,4000,0.0,3173.5,Revenue,"",Regular
2025-01-09,E202,1000,4248.25,0.0,Sale,"",Regular
2025-01-16,E202,4000,0.0,4248.25,Revenue,"",Regular
2025-01-24,E202,1000,2682.49,0.0,Sale,"",Regular
2025-01-19,E202,4000,0.0,2682.49,Revenue,"",Regular
2025-01-18,E202,1000,1126.96,0.0,Sale,"",Regular
2025-01-11,E202,4000,0.0,1126.96,Revenue,"",Regular
2025-01-17,E202,1000,3287.31,0.0,Sale,"",Regular
2025-01-23,E202,4000,0.0,3287.31,Revenue,"",Regular
2025-01-11,E202,1000,2817.77,0.0,Sale,"",Regular
2025-01-13,E202,4000,0.0,2817.77,Revenue,"",Regular
2025-01-14,E202,1000,2997.65,0.0,Sale,"",Regular
2025-01-27,E202,4000,0.0,2997.65,Revenue,"",Regular
2025-01-02,E202,1000,2631.79,0.0,Sale,"",Regular
2025-01-09,E202,4000,0.0,2631.79,Revenue,"",Regular
2025-01-22,E202,1000,3349.92,0.0,Sale,"",Regular
2025-01-25,E202,4000,0.0,3349.92,Revenue,"",Regular
